CHARTER,CITYST,STATE,STATEGDP,COST,FAILDATE,NAME,ASSET,DEPOSIT,state_latitude,state_longitude
NM,"SCOTTSDALE, AZ",Arizona,273482,5425,5/14/2013,CENTRAL ARIZONA BANK,31550,30822,33.729759,-111.431221
NM,"BERWYN, IL",Illinois,741194,21715,5/16/2014,AZTECAMERICA BANK,66309,65031,40.349457,-88.986137
N,"SYLACAUGA, AL",Alabama,189246,10672,5/18/2012,"ALABAMA TRUST BANK, NATIONAL ASSOCIATION",51553,45149,32.806671,-86.79113
NM,"BURLINGTON, WA",Washington,387745,24195,5/20/2011,SUMMIT BANK,142729,131631,47.400902,-121.490494
NM,"MACON, GA",Georgia,441627,280971,5/20/2011,ATLANTIC SOUTHERN BANK,741855,707643,33.040619,-83.643074
NM,"FRANKLIN, GA",Georgia,441627,134595,5/20/2011,FIRST GEORGIA BANKING COMPANY,730981,702231,33.040619,-83.643074
SB,"CORAL GABLES, FL",Florida,769061,5228684,5/21/2009,"BANKUNITED, FSB",13111463,8775985,27.994402,-81.760254
NM,"ST. PAUL, MN",Minnesota,287140,8410,5/21/2010,PINEHURST BANK,61215,58288,45.694454,-93.900192
N,"MACOMB, IL",Illinois,688161,30883,5/22/2009,CITIZENS NATIONAL BANK,438560,393635,40.349457,-88.986137
NM,"CHAMPAIGN, IL",Illinois,688161,92681,5/22/2009,STRATEGIC CAPITAL BANK,546576,479384,40.349457,-88.986137
SI,"CINCINNATI, OH",Ohio,574178,7224,5/23/2014,COLUMBIA SAVINGS BANK,36484,29538,40.388783,-82.764915
SM,"SAINT ELMO, IL",Illinois,753027,8088,5/26/2017,FAYETTE COUNTY BANK,34370,33972,40.349457,-88.986137
NM,"SNOHOMISH, WA",Washington,387745,33596,5/27/2011,FIRST HERITAGE BANK,173478,163303,47.400902,-121.490494
NM,"LAS VEGAS, NV",Nevada,129828,115960,5/28/2010,SUN WEST BANK,360662,353943,38.313515,-117.055374
NM,"NAPLES, FL",Florida,775040,87638,5/28/2010,BANK OF FLORIDA - SOUTHWEST,640894,559897,27.994402,-81.760254
N,"GRANITE BAY, CA",California,2036015,13175,5/28/2010,"GRANITE COMMUNITY BANK, NATIONAL ASSOCIATION",102913,94252,36.116203,-119.681564
NM,"FORT LAUDERDALE, FL",Florida,775040,60470,5/28/2010,BANK OF FLORIDA - SOUTHEAST,595318,531752,27.994402,-81.760254
NM,"TAMPA BAY, FL",Florida,775040,30582,5/28/2010,BANK OF FLORIDA - TAMPA BAY,240513,224024,27.994402,-81.760254
N,"MALTA, OH",Ohio,502968,769,5/3/2001,MALTA NATIONAL BANK,9075,8728,40.388783,-82.764915
N,"STAPLES, MN",Minnesota,288421,10305,5/30/2008,"FIRST INTEGRITY BANK, N.A.",52916,50178,45.694454,-93.900192
SB,"BEL AIR, MD",Maryland,339605,10954,5/30/2014,SLAVIE FEDERAL SAVINGS BANK,140063,111142,39.063946,-76.802101
NM,"KENOSHA, WI",Wisconsin,278015,22473,5/31/2013,BANKS OF WISCONSIN,134024,127590,44.268543,-89.616508
NM,"COOPER, TX",Texas,1779781,18263,5/31/2019,ENLOE STATE BANK,36738,31254,31.054487,-97.563461
N,"NORTH LAUDERDALE, FL",Florida,778545,15098,5/4/2012,"SECURITY BANK, NATIONAL ASSOCIATION",101026,99067,27.994402,-81.760254
SB,"MILWAUKEE, WI",Wisconsin,291923,131962,5/5/2017,GUARANTY BANK,1031900,1002026,44.268543,-89.616508
SB,"COCOA BEACH, FL",Florida,772021,18527,5/6/2011,COASTAL BANK,129429,123950,27.994402,-81.760254
NM,"KING OF PRUSSIA, PA",Pennsylvania,688359,10825,5/6/2016,FIRST CORNERSTONE BANK,103307,101040,40.590752,-77.209755
NM,"BONIFAY, FL",Florida,775040,65887,5/7/2010,THE BANK OF BONIFAY,242871,230190,27.994402,-81.760254
NM,"CHAMPLIN, MN",Minnesota,287140,7916,5/7/2010,ACCESS BANK,31996,31969,45.694454,-93.900192
SM,"SAN DIEGO, CA",California,2036015,6342,5/7/2010,1st PACIFIC BANK OF CALIFORNIA,335798,291173,36.116203,-119.681564
NM,"MESA, AZ",Arizona,260307,44322,5/7/2010,TOWNE BANK OF ARIZONA,120246,113243,33.729759,-111.431221
NM,"BREMERTON, WA",Washington,370137,81050,5/8/2009,WESTSOUND BANK,334608,304464,47.400902,-121.490494
NM,"CHICAGO, IL",Illinois,751755,20647,5/8/2015,EDGEBROOK BANK,90034,90007,40.349457,-88.986137
N,"BLANCHARDVILLE, WI",Wisconsin,247766,12788,5/9/2003,THE FIRST NATIONAL BANK OF BLANCHARDVILLE,34536,28760,44.268543,-89.616508
N,"BENTONVILLE, AR",Arkansas,106537,1025204,5/9/2008,ANB FINANCIAL NATIONAL ASSOCIATION,1895545,1815691,34.969704,-92.373123
NM,"SEATTLE, WA",Washington,380990,95151,6/11/2010,WASHINGTON FIRST INTERNATIONAL BANK,520887,441362,47.400902,-121.490494
NM,"LYNCHBURG, TN",Tennessee,286342,33106,6/15/2012,THE FARMERS BANK OF LYNCHBURG,163859,156402,35.747845,-86.692345
NM,"PALATKA, FL",Florida,778545,28751,6/15/2012,PUTNAM STATE BANK,169489,160024,27.994402,-81.760254
NM,"MARIETTA, GA",Georgia,447765,44760,6/15/2012,SECURITY EXCHANGE BANK,150962,147896,33.040619,-83.643074
NM,"JACKSON, GA",Georgia,441627,75418,6/17/2011,MCINTOSH STATE BANK,339929,324403,33.040619,-83.643074
NM,"TAMPA, FL",Florida,772021,33477,6/17/2011,FIRST COMMERCIAL BANK OF TAMPA BAY,98624,92641,27.994402,-81.760254
NM,"RENO, NV",Nevada,129828,70039,6/18/2010,NEVADA SECURITY BANK,492491,479759,38.313515,-117.055374
N,"ANTHONY, KS",Kansas,134227,33230,6/19/2009,FIRST NATIONAL BANK OF ANTHONY,156954,142551,38.5266,-96.726486
NM,"WILMINGTON, NC",North Carolina,431955,287345,6/19/2009,COOPERATIVE BANK,966778,768479,35.630066,-79.806419
NM,"FAYETTEVILLE, GA",Georgia,428741,136636,6/19/2009,SOUTHERN COMMUNITY BANK,371695,297962,33.040619,-83.643074
N,"RIDGECREST, CA",California,1696172,617,6/2/2000,MONUMENT NATIONAL BANK,7923,7680,36.116203,-119.681564
NM,"MOLINE, IL",Illinois,741194,47807,6/20/2014,VALLEY BANK,456442,359953,40.349457,-88.986137
NM,"FORT LAUDERDALE, FL",Florida,817234,5439,6/20/2014,VALLEY BANK,81843,66541,27.994402,-81.760254
NM,"CLAYTON, GA",Georgia,441627,34480,6/24/2011,MOUNTAIN HERITAGE BANK,103716,89554,33.040619,-83.643074
SM,"EPHRAIM, UT",Utah,102847,2998,6/25/2004,BANK OF EPHRAIM,56774,52329,40.150032,-111.862434
NM,"ENGLEWOOD, FL",Florida,775040,184045,6/25/2010,PENINSULA BANK,630179,580140,27.994402,-81.760254
N,"SAVANNAH, GA",Georgia,433727,78167,6/25/2010,FIRST NATIONAL BANK,252520,231857,33.040619,-83.643074
NM,"ALBUQUERQUE, NM",New Mexico,87610,28392,6/25/2010,HIGH DESERT STATE BANK,80343,80985,34.840515,-106.248482
NM,"STAMFORD, CT",Connecticut,216678,53784,6/26/2002,CONNECTICUT BANK OF COMMERCE,384172,344416,41.597782,-72.755371
NM,"PINE CITY, MN",Minnesota,277494,24010,6/26/2009,HORIZON BANK,84763,69254,45.694454,-93.900192
SM,"NEWNAN, GA",Georgia,428741,80745,6/26/2009,NEIGHBORHOOD COMMUNITY BANK,212616,190070,33.040619,-83.643074
NM,"LOS ANGELES, CA",California,1995440,45309,6/26/2009,MIRAE BANK,480619,409951,36.116203,-119.681564
SM,"VILLA RICA, GA",Georgia,428741,71712,6/26/2009,COMMUNITY BANK OF WEST GEORGIA,201222,189398,33.040619,-83.643074
NM,"IRVINE, CA",California,1995440,32168,6/26/2009,METROPACIFIC BANK,75316,70078,36.116203,-119.681564
SB,"CHICAGO, IL",Illinois,647518,274,6/27/2002,UNIVERSAL FSB,51628,40340,40.349457,-88.986137
NM,"FREEDOM, OK",Oklahoma,189360,3734,6/27/2014,THE FREEDOM STATE BANK,22816,20855,35.565342,-96.928917
SB,"CHARLESTON, SC",South Carolina,176083,31204,6/3/2011,ATLANTIC BANK AND TRUST,208204,191614,33.856892,-80.945007
N,"ROSEDALE, MS",Mississippi,98601,18085,6/4/2010,FIRST NATIONAL BANK,60449,63483,32.741646,-89.678696
SB,"LINCOLN, NE",Nebraska,97466,0,6/4/2010,TIERONE BANK,2824737,2185817,41.12537,-98.268082
SI,"ARCOLA, IL",Illinois,698180,11534,6/4/2010,ARCOLA HOMESTEAD SAVINGS BANK,17028,18092,40.349457,-88.986137
NM,"LINCOLNWOOD, IL",Illinois,688161,70928,6/5/2009,BANK OF LINCOLNWOOD,212718,209285,40.349457,-88.986137
NM,"NORTH LAS VEGAS, NV",Nevada,129721,5208,6/6/2013,1st COMMERCE BANK,20152,19579,38.313515,-117.055374
N,"SEVIERVILLE, TN",Tennessee,289795,33292,6/7/2013,MOUNTAIN NATIONAL BANK,437282,373366,35.747845,-86.692345
NM,"KINGFISHER, OK",Oklahoma,174874,8725,6/8/2012,FIRST CAPITAL BANK,44448,44828,35.565342,-96.928917
