CHARTER,CITYST,COST,FAILDATE,NAME,ASSET,DEPOSIT
NM,"MARIANNA, FL",7920,4/19/2013,CHIPOLA COMMUNITY BANK,37471,37067
SM,"GOLD CANYON, AZ",8263,4/5/2013,GOLD CANYON BANK,42125,41728
NM,"LAGRANGE, GA",73446,3/8/2013,FRONTIER BANK,258840,224108
NM,"CHICAGO, IL",19576,2/15/2013,COVENANT BANK,58422,54202
NM,"ANDOVER, MN",12229,1/18/2013,1ST REGENTS BANK,49626,49147
NM,"UNIVERSITY PLACE, WA",22860,1/11/2013,WESTSIDE COMMUNITY BANK,91935,91879
NM,"SUNRISE, MO",13419,12/14/2012,COMMUNITY BANK OF THE OZARKS,42816,41881
NM,"BRASELTON, GA",39665,11/16/2012,HOMETOWN COMMUNITYBANK,124561,108931
N,"PRINCETON, IL",32458,11/2/2012,CITIZENS FIRST NATIONAL BANK,923959,869440
NM,"LUTZ, FL",73811,11/2/2012,HERITAGE BANK OF FLORIDA,225477,223309
SI,"BERWYN, PA",85600,10/26/2012,NOVA BANK,444710,395248
NM,"SEDALIA, MO",29582,10/19/2012,EXCEL BANK,186113,173670
SB,"TAMARAC, FL",12370,10/19/2012,FIRST EAST SIDE SAVINGS BANK,65686,64888
NM,"DESTIN, FL",40332,10/19/2012,GULFSOUTH PRIVATE BANK,139391,131579
NM,"CRETE, IL",33841,9/28/2012,FIRST UNITED BANK,328422,316877
SM,"ST. LOUIS, MO",39469,9/14/2012,TRUMAN BANK,282338,245716
NM,"BLOOMINGTON, MN",65213,9/7/2012,FIRST COMMERCIAL BANK,215867,206809
SI,"WAUKEGAN, IL",23518,8/3/2012,WAUKEGAN SAVINGS BANK,83679,73001
NM,"JASPER, GA",49244,7/27/2012,JASPER BANKING COMPANY,206672,204238
NM,"LEAWOOD, KS",363,7/20/2012,HEARTLAND BANK,96002,89723
SB,"CHICAGO, IL",86252,7/20/2012,SECOND FEDERAL SAVINGS AND LOAN ASSOCIATION OF CHICAGO,190891,171627
NM,"WOODSTOCK, GA",36215,7/20/2012,FIRST CHEROKEE STATE BANK,209021,182114
NM,"NAPLES, FL",16848,7/20/2012,THE ROYAL PALM BANK OF FLORIDA,78771,78876
NM,"BUFORD, GA",25335,7/20/2012,GEORGIA TRUST BANK,116890,114748
NM,"GLASGOW, MO",1396,7/13/2012,GLASGOW SAVINGS BANK,22341,21809
NM,"AILEY, GA",65798,7/6/2012,MONTGOMERY BANK & TRUST,153208,164181
NM,"LYNCHBURG, TN",33106,6/15/2012,THE FARMERS BANK OF LYNCHBURG,163859,156402
NM,"PALATKA, FL",28751,6/15/2012,PUTNAM STATE BANK,169489,160024
NM,"MARIETTA, GA",44760,6/15/2012,SECURITY EXCHANGE BANK,150962,147896
NM,"KINGFISHER, OK",8725,6/8/2012,FIRST CAPITAL BANK,44448,44828
NM,"SHABBONA, IL",10243,6/8/2012,FARMERS' AND TRADERS' STATE BANK,43077,42302
SM,"WHITEVILLE, NC",23756,6/8/2012,WACCAMAW BANK,533114,472704
SB,"CHARLESTON, SC",17630,6/8/2012,CAROLINA FEDERAL SAVINGS BANK,54373,53082
N,"SYLACAUGA, AL",10672,5/18/2012,"ALABAMA TRUST BANK, NATIONAL ASSOCIATION",51553,45149
N,"NORTH LAUDERDALE, FL",15098,5/4/2012,"SECURITY BANK, NATIONAL ASSOCIATION",101026,99067
N,"PALM DESERT, CA",26331,4/27/2012,PALM DESERT NATIONAL BANK,129253,129023
SM,"CAMBRIDGE, MD",57856,4/27/2012,BANK OF THE EASTERN SHORE,162460,150951
SB,"MAPLE GROVE, MN",79681,4/27/2012,"INTER SAVINGS BANK, FSB D/B/A/ INTERBANK, FSB",463840,458053
SB,"PAWLEYS ISLAND, SC",83230,4/27/2012,PLANTATION FEDERAL BANK,433512,415943
NM,"GAITHERSBURG, MD",26694,4/27/2012,HARVEST BANK OF MARYLAND,163019,145534
